raw_sentence,labels
Four of the mothers had measles while pregnant .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"IMOLA , Italy 1996-08-30","['B-LOC', 'O', 'B-LOC', 'O']"
3. Johansson 236,"['O', 'B-PER', 'O']"
Buducnost 1 Red Star 3,"['B-ORG', 'O', 'B-ORG', 'I-ORG', 'O']"
Martin Wolk,"['B-PER', 'I-PER']"
Banking group ING traded ex-dividend today and finished 0.60 guilders weaker at 52.90 as a result .,"['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Last May dozens of demonstrators and police were injured in violent clashes around the Gorleben nuclear waste depot as hundreds of protesters tried to block a delivery of waste by train and truck .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"65 Eamonn Darcy ( Ireland ) , Per Nyman ( Sweden ) , Russell Claydon ,","['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O']"
"January crude was barely changed from its settlement , edging up one cent to $ 25.66 a barrel .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Congress is constitutionally obliged to approve the budget by the end of year but regularly fails to meet that requirement .,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Carlton 13.18 ( 96 ) Footscray 9.12 ( 66 ),"['B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O']"
Advanced Medical said it expects to take an unspecified one-time charge to pay for the merger .,"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Scorers :,"['O', 'O']"
"Returns on Treasuries were also in negative territory at minus 0.24 percent , the poorest result after Canada and British gilts which lost 0.28 percent .","['O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O']"
-- New York Newsdesk 212-859-1610 .,"['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O']"
Ian Salisbury 2 4 1 50 40 16.66,"['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
England have been given a final chance to remain in the Five Nations ' championship despite striking an exclusive television deal with Rupert Murdoch 's Sky television .,"['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O']"
Scorers :,"['O', 'O']"
"An aid agency said six Roman Catholic missionaries , including three Australian nuns , were freed by rebels in southern Sudan on Wednesday after being held for nearly two weeks .","['O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
West Bromwich 2 0 1 1 2 3 1,"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
""" If it was an unsolicited statement and a bolt out of the blue , then it obviously means something , "" said Christopher Granville , chief economist at United City Bank in Moscow .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-LOC', 'O']"
The firm also revised down its year-end peso forecast to 7.85-8.15 per dollar from 8.20-8.50 .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4. Jarmo Kytolehto ( Finland ) Ford Escort 1:56,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'B-MISC', 'I-MISC', 'O']"
"South Africa - 15 - Andre Joubert , 14 - Justin Swart , 13 - Japie Mulder ( Joel Stransky , 48 mins ) 12 - Danie van Schalkwyk , 11 - Pieter Hendriks ; 10 - Henry Honiball , 9 - Joost van der Westhuizen ; 8 - Gary Teichmann ( captain ) , 7 - Andre Venter ( Wayne Fyvie , 75 ) , 6 - Ruben Kruge , 5 - Mark Andrews ( Fritz van Heerden , 39 ) , 4 - Kobus Wiese , 3 - Marius Hurter , 2 - James Dalton , 1 - Dawie Theron ( Garry Pagel , 66 ) .","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']"
Forfar 3 Inverness 1,"['B-ORG', 'O', 'B-ORG', 'O']"
JERUSALEM 1996-12-07,"['B-LOC', 'O']"
"QUITO , Ecuador 1996-08-23","['B-LOC', 'O', 'B-LOC', 'O']"
"Like I said many times , I think it 's a very little chance , but nothing is impossible .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Real Sociedad 15 7 3 5 20 18 24,"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
GOVT.BUDGET ( bln pts ) Govt.Fcast 96,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Squad : Javier Pertile , Paolo Vaccari , Marcello Cuttitta , Ivan Francescato , Leandro Manteri , Diego Dominguez , Francesco Mazzariol , Alessandro Troncon , Orazio Arancio , Andrea Sgorlon , Massimo Giovanelli , Carlo Checchinato , Walter Cristofoletto , Franco Properzi Curti , Carlo Orlandi , Massimo Cuttitta , Giambatista Croci , Gianluca Guidi , Nicola Mazzucato , Alessandro Moscardi , Andrea Castellani .","['O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']"
"LARNACA , Cyprus 1996-08-27","['B-LOC', 'O', 'B-LOC', 'O']"
"there 's really no reason to change our forecast and our largely positive view on the stock . ""","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
- - - -,"['O', 'O', 'O', 'O']"
"Lin said many breakers predicted a 20 pct decline in scrapping operations this year due to falling demand from the U.S. , Japan and Southeast Asia for Taiwanese steel .","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'B-MISC', 'O', 'O']"
"They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Coetzer , ranked 17th , avenged her defeat to Huber in the Australian Open semifinals by winning 6-1 2-6 6-2 .","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
0-1 .,"['O', 'O']"
ANAHEIM AT BUFFALO,"['B-ORG', 'O', 'B-LOC']"
"Total public debt ,","['O', 'O', 'O', 'O']"
"The Palestinian Legislative Council on Wednesday called for a halt to contacts with Israel , just hours after President Yasser Arafat said the Jewish state had effectively declared war on the Palestinians by pursuing its hardline policies .","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O']"
TORONTO 58 69 .457 15,"['B-ORG', 'O', 'O', 'O', 'O']"
"Woods was among a group of 13 players at four under , including 1993 champion Billy Mayfair , who tied for second at last week 's World Series of Golf , and former U.S. Open champ Payne Stewart .","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'B-PER', 'I-PER', 'O']"
TEXAS 76 58 .567 -,"['B-ORG', 'O', 'O', 'O', 'O']"
Graafschap Doetinchem 3 RKC Waalwijk 2,"['B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O']"
SAO PAULO 1996-08-27,"['B-PER', 'I-PER', 'O']"
Lugano 9 1 4 4 6 15 7,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
This is how major world bond markets were trading in late European business on Friday .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O']"
"-- New York newsroom , ( 212 ) 859-1610","['O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
Full name of company is Loxley Publications Plc .,"['O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']"
"The U.N. Department of Humanitarian Affairs ( DHA ) , which has to coordinate the distribution of food , medicine and other goods , increased the number of monitors earlier this month at the insistence of the United States .","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O']"
MELBOURNE 1996-12-06,"['B-LOC', 'O']"
"The Fed confounded most economists ' predictions of a bill '' pass '' last week by buying instead a record 2.2 billion dlrs of notes and bonds , and Maria Ramirez of Drexel Burnham Lambert Inc said the Fed could make it two in a row by offering to buy coupon securities today or Wednesday .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mouscron 4 2 2 0 7 4 8,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"This allowed Djorkaeff to play further up and his cross from the right fell for Ouedec , who has joined Espanyol of Barcelona from Nantes since missing the European championship finals through injury , to score after a mistake by midfielder Joaquin del Olmo .","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-LOC', 'O', 'B-ORG', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O']"
"Those taking part were told to eat a low-fat diet for six weeks before they started taking the pills , and their blood cholesterol measured before and after the six-week period .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
A powerful right hook followed by a straight left gave defending champion Nate Miller a seventh round knock-out win over fellow American James Heath in their WBA cruiserweight title bout on Saturday .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"The expeditionary force would include nearly 1,000 Air Force personnel in ground and support crews , they said .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Belo and Ramos Horta were awared the prize for their efforts to secure a peaceful solution to the issue of East Timor , a former Portuguese colony which Indonesia invaded in 1975 and annexed the following year .","['B-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"You are narcissitic , "" Luebke said at the sentencing , adding Voeks should pay restitution of more than $ 100,000 to the farming family who had hired him .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Summaries of matches played in the German first division on Friday :,"['O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O']"
The Ukrainian finally hit a low of 44th two months ago .,"['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The 26-year-old , who joined Newcastle for 15 million pounds sterling ( $ 23.4 million ) , takes over from Tony Adams , who led the side during the European championship in June , and former captain David Platt .","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
It said the KDP was responsible for breaking the previous ceasefire by refusing to endorse it publicly .,"['O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The separatists , who swept into Grozny on August 6 , still control large areas of the centre of town , and Russian soldiers are based at checkpoints on the approach roads .","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sheffield United 1 Portsmouth 0,"['B-ORG', 'I-ORG', 'O', 'B-ORG', 'O']"
"Indonesia 's central bank suffered seven billion rupiah ( $ 2.9 million ) in losses resulting from fake transactions , the Jakarta Post reported on Tuesday .","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O']"
"Fulmar 30 28/08 Ulsan / Yosu $ 105,000 LG Caltex .","['B-ORG', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"O'Meara , Fred Couples","['B-PER', 'O', 'B-PER', 'I-PER']"
"Atheist China officially bans missionary activities but often turns a blind eye to religious activities of people nominally employed as foreign language teachers , particularly in remote areas that are unable to attract other candidates .","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Teams :,"['O', 'O']"
Graafschap Doetinchem 18 9 3 6 29 22 30,"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Chonbuk 0 0 0 0 0 0,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"Rashid , 46 , was sentenced to 18 years in prison by a Greek court in 1992 after being convicted of premeditated murder in the mid-air bombing of a Pan American airliner in 1982 .","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O']"
"Following is a summary of major Indonesian political and business stories in leading newspapers , prepared by Reuters in Jakarta .","['O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-LOC', 'O']"
3. Maksim Tarasov ( Russia ) 5.86,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
CHICAGO 12 13 3 72 70 27,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
""" Let 's not let our kids jump on them or crawl on them .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"BOGOTA , Colombia 1996-08-25","['B-LOC', 'O', 'B-LOC', 'O']"
British Prime Minister Margaret Thatcher has been one of President Reagan 's few staunch supporters on his plan to development an anti-ballistic missile defence screen .,"['B-MISC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"`` When I was a kid '' , Maris told a sportswriter last week , `` I used to follow Williams every day in the box score , just to see whether he got a hit or not '' .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mexico stocks off lows but still hit by Greenspan .,"['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
1. Stefka Kostadinova ( Bulgaria ) 2.03,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
"Earlier in the day , Fed chairman Alan Greenspan said at the annual Jackson Hole symposium that the goal of price stability is within reach for major nations .","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Ukraine beat Northern Ireland 1-0 ( halftime 0-0 ) in a World Cup soccer European group nine qualifier on Saturday .,"['B-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O']"
The company currently buys the tubes from competitors .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
209 Steve van Vuuren 65 69 75,"['O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O']"
Watford 0 Plymouth 2,"['B-ORG', 'O', 'B-ORG', 'O']"
"Temperatures at ground level can be 2.0 to 5.0 Celsius lower than at chest level depending on windspeed , sky conditions and ground surface moisture .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Played on Friday :,"['O', 'O', 'O', 'O']"
"U.S. corn gluten meal steady-higher , feed flat .","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
division ahead of this weekend 's games .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
